"","X","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"1",289,31,"Nebraska",55,"Douglas County",200,1,876,364,512,618,44,32,204
"2",290,31,"Nebraska",55,"Douglas County",200,2,1384,657,727,790,83,120,305
"3",291,31,"Nebraska",55,"Douglas County",200,3,507,281,226,427,102,18,83
"4",292,31,"Nebraska",55,"Douglas County",200,4,813,433,380,570,130,140,82
"5",293,31,"Nebraska",55,"Douglas County",300,1,600,248,352,330,66,58,168
"6",294,31,"Nebraska",55,"Douglas County",300,2,1128,477,651,656,153,87,284
"7",295,31,"Nebraska",55,"Douglas County",300,3,761,379,382,421,94,83,302
"8",296,31,"Nebraska",55,"Douglas County",400,1,1720,1074,646,909,413,58,707
"9",297,31,"Nebraska",55,"Douglas County",400,2,818,413,405,534,177,1,308
"10",298,31,"Nebraska",55,"Douglas County",500,1,1194,618,576,656,128,218,575
"11",299,31,"Nebraska",55,"Douglas County",500,2,886,852,34,570,86,0,81
"12",300,31,"Nebraska",55,"Douglas County",600,1,730,409,321,422,149,7,385
"13",301,31,"Nebraska",55,"Douglas County",600,2,696,352,344,334,180,13,391
"14",302,31,"Nebraska",55,"Douglas County",700,1,1158,568,590,753,222,29,459
"15",303,31,"Nebraska",55,"Douglas County",800,1,920,449,471,478,165,40,396
"16",304,31,"Nebraska",55,"Douglas County",800,2,1120,481,639,628,145,114,574
"17",305,31,"Nebraska",55,"Douglas County",1100,1,932,346,586,433,46,55,500
"18",306,31,"Nebraska",55,"Douglas County",1100,2,189,68,121,86,28,0,91
"19",307,31,"Nebraska",55,"Douglas County",1100,3,1613,656,957,852,178,218,867
"20",308,31,"Nebraska",55,"Douglas County",1200,1,1215,530,685,582,100,81,540
"21",309,31,"Nebraska",55,"Douglas County",1200,2,458,229,229,295,40,37,22
"22",310,31,"Nebraska",55,"Douglas County",1200,3,1036,486,550,585,162,49,356
"23",311,31,"Nebraska",55,"Douglas County",1600,1,1173,518,655,129,0,65,108
"24",312,31,"Nebraska",55,"Douglas County",1600,2,1178,496,682,133,6,57,33
"25",313,31,"Nebraska",55,"Douglas County",1800,1,1383,1109,274,1011,276,149,94
"26",314,31,"Nebraska",55,"Douglas County",1800,2,1311,704,607,1046,15,726,255
"27",315,31,"Nebraska",55,"Douglas County",1800,3,748,433,315,672,22,317,183
"28",316,31,"Nebraska",55,"Douglas County",1900,1,581,390,191,492,42,115,137
"29",317,31,"Nebraska",55,"Douglas County",1900,2,695,400,295,335,88,42,250
"30",318,31,"Nebraska",55,"Douglas County",2000,1,952,570,382,501,150,36,327
"31",319,31,"Nebraska",55,"Douglas County",2000,2,2046,1300,746,1114,560,75,537
"32",320,31,"Nebraska",55,"Douglas County",2000,3,1054,553,501,563,267,4,160
"33",321,31,"Nebraska",55,"Douglas County",2100,1,829,512,317,524,131,25,281
"34",322,31,"Nebraska",55,"Douglas County",2100,2,1362,717,645,757,191,79,399
"35",323,31,"Nebraska",55,"Douglas County",2200,1,588,267,321,441,146,82,71
"36",324,31,"Nebraska",55,"Douglas County",2200,2,541,301,240,332,34,133,90
"37",325,31,"Nebraska",55,"Douglas County",2300,1,1409,691,718,791,49,392,210
"38",326,31,"Nebraska",55,"Douglas County",2300,2,1026,468,558,866,215,81,106
"39",327,31,"Nebraska",55,"Douglas County",2400,1,484,212,272,347,164,48,280
"40",328,31,"Nebraska",55,"Douglas County",2400,2,754,389,365,396,59,53,89
"41",329,31,"Nebraska",55,"Douglas County",2400,3,963,489,474,617,323,54,387
"42",330,31,"Nebraska",55,"Douglas County",2400,4,1238,627,611,622,270,23,411
"43",331,31,"Nebraska",55,"Douglas County",2500,1,648,360,288,429,58,40,84
"44",332,31,"Nebraska",55,"Douglas County",2500,2,541,318,223,338,85,73,84
"45",333,31,"Nebraska",55,"Douglas County",2500,3,1431,730,701,738,371,40,193
"46",334,31,"Nebraska",55,"Douglas County",2600,1,1652,1043,609,850,407,27,192
"47",335,31,"Nebraska",55,"Douglas County",2600,2,840,369,471,498,123,34,317
"48",336,31,"Nebraska",55,"Douglas County",2700,1,676,361,315,485,275,20,41
"49",337,31,"Nebraska",55,"Douglas County",2700,2,593,342,251,292,104,12,105
"50",338,31,"Nebraska",55,"Douglas County",2700,3,1093,489,604,541,337,14,547
"51",339,31,"Nebraska",55,"Douglas County",2800,1,983,506,477,552,228,87,194
"52",340,31,"Nebraska",55,"Douglas County",2800,2,1081,741,340,681,234,96,237
"53",341,31,"Nebraska",55,"Douglas County",2800,3,921,502,419,559,243,35,142
"54",342,31,"Nebraska",55,"Douglas County",2900,1,1771,1187,584,994,466,75,227
"55",343,31,"Nebraska",55,"Douglas County",2900,2,984,451,533,538,245,20,451
"56",344,31,"Nebraska",55,"Douglas County",2900,3,1014,496,518,386,73,59,262
"57",345,31,"Nebraska",55,"Douglas County",2900,4,1328,659,669,511,244,17,1065
"58",346,31,"Nebraska",55,"Douglas County",3000,1,1010,571,439,511,253,33,173
"59",347,31,"Nebraska",55,"Douglas County",3000,2,528,232,296,377,144,15,158
"60",348,31,"Nebraska",55,"Douglas County",3000,3,919,444,475,566,150,62,13
"61",349,31,"Nebraska",55,"Douglas County",3000,4,1056,444,612,605,247,18,193
"62",350,31,"Nebraska",55,"Douglas County",3000,5,878,502,376,412,203,0,48
"63",351,31,"Nebraska",55,"Douglas County",3000,6,1092,554,538,710,459,64,306
"64",352,31,"Nebraska",55,"Douglas County",3000,7,1063,554,509,646,206,21,125
"65",353,31,"Nebraska",55,"Douglas County",3100,1,984,402,582,494,124,47,273
"66",354,31,"Nebraska",55,"Douglas County",3100,2,798,291,507,407,43,60,136
"67",355,31,"Nebraska",55,"Douglas County",3100,3,750,370,380,451,36,160,71
"68",356,31,"Nebraska",55,"Douglas County",3100,4,1103,436,667,576,253,30,82
"69",357,31,"Nebraska",55,"Douglas County",3200,1,984,505,479,598,278,30,321
"70",358,31,"Nebraska",55,"Douglas County",3200,2,1751,795,956,983,557,51,296
"71",359,31,"Nebraska",55,"Douglas County",3300,1,1532,784,748,865,416,124,654
"72",360,31,"Nebraska",55,"Douglas County",3300,2,1145,524,621,776,353,21,480
"73",361,31,"Nebraska",55,"Douglas County",3401,1,881,408,473,679,74,160,242
"74",362,31,"Nebraska",55,"Douglas County",3401,2,895,417,478,497,176,143,157
"75",363,31,"Nebraska",55,"Douglas County",3401,3,1136,507,629,656,173,56,182
"76",364,31,"Nebraska",55,"Douglas County",3401,4,1107,544,563,697,105,18,231
"77",365,31,"Nebraska",55,"Douglas County",3402,1,955,486,469,700,58,132,72
"78",366,31,"Nebraska",55,"Douglas County",3402,2,826,425,401,530,36,148,5
"79",367,31,"Nebraska",55,"Douglas County",3402,3,748,339,409,519,60,107,69
