"","State","State_name","County","County_name","Tract","Block_Group","Tot_Population_ACS_08_12","Males_ACS_08_12","Females_ACS_08_12","Pop_25yrs_Over_ACS_08_12","Not_HS_Grad_ACS_08_12","College_ACS_08_12","Prs_Blw_Pov_Lev_ACS_08_12"
"1",31,"Nebraska",1,"Adams County",965400,1,1049,548,501,725,37,288,57
"2",31,"Nebraska",1,"Adams County",965400,2,1429,732,697,997,58,214,66
"3",31,"Nebraska",1,"Adams County",965400,3,1599,839,760,1005,28,284,73
"4",31,"Nebraska",1,"Adams County",965500,1,1075,601,474,756,71,286,114
"5",31,"Nebraska",1,"Adams County",965500,2,988,472,516,648,26,225,10
"6",31,"Nebraska",1,"Adams County",965500,3,1114,595,519,633,44,162,235
"7",31,"Nebraska",1,"Adams County",965500,4,774,355,419,657,44,78,92
"8",31,"Nebraska",1,"Adams County",965600,1,704,263,441,505,13,162,85
"9",31,"Nebraska",1,"Adams County",965600,2,1675,739,936,678,11,219,194
"10",31,"Nebraska",1,"Adams County",965600,3,1420,783,637,980,68,93,124
"11",31,"Nebraska",1,"Adams County",965600,4,1689,875,814,1149,130,175,66
"12",31,"Nebraska",1,"Adams County",965700,1,523,207,316,369,81,53,148
"13",31,"Nebraska",1,"Adams County",965700,2,743,386,357,495,69,155,193
"14",31,"Nebraska",1,"Adams County",965800,1,897,531,366,517,46,67,176
"15",31,"Nebraska",1,"Adams County",965800,2,734,305,429,362,79,43,187
"16",31,"Nebraska",1,"Adams County",965800,3,1093,611,482,680,107,133,15
"17",31,"Nebraska",1,"Adams County",965900,1,995,470,525,817,8,359,43
"18",31,"Nebraska",1,"Adams County",965900,2,1168,583,585,706,46,131,128
"19",31,"Nebraska",1,"Adams County",965900,3,937,457,480,607,72,92,134
"20",31,"Nebraska",1,"Adams County",965900,4,1231,646,585,821,32,196,48
"21",31,"Nebraska",1,"Adams County",966000,1,1002,483,519,617,50,35,256
"22",31,"Nebraska",1,"Adams County",966000,2,1253,678,575,695,203,29,223
"23",31,"Nebraska",1,"Adams County",966000,3,1226,670,556,789,85,51,148
"24",31,"Nebraska",1,"Adams County",966000,4,1356,615,741,801,120,232,262
"25",31,"Nebraska",1,"Adams County",966100,1,1403,576,827,1207,245,94,359
"26",31,"Nebraska",1,"Adams County",966100,2,996,454,542,401,143,49,174
"27",31,"Nebraska",1,"Adams County",966200,1,627,266,361,388,11,64,5
"28",31,"Nebraska",1,"Adams County",966200,2,711,382,329,451,37,117,53
"29",31,"Nebraska",1,"Adams County",966200,3,888,454,434,605,38,160,30
"30",31,"Nebraska",3,"Antelope County",979600,1,620,358,262,461,12,34,37
"31",31,"Nebraska",3,"Antelope County",979600,2,724,440,284,467,22,83,119
"32",31,"Nebraska",3,"Antelope County",979600,3,914,429,485,632,66,105,125
"33",31,"Nebraska",3,"Antelope County",979700,1,727,335,392,499,16,129,39
"34",31,"Nebraska",3,"Antelope County",979700,2,1003,517,486,704,89,140,172
"35",31,"Nebraska",3,"Antelope County",979800,1,822,381,441,542,29,52,98
"36",31,"Nebraska",3,"Antelope County",979800,2,777,336,441,595,68,99,86
"37",31,"Nebraska",3,"Antelope County",979800,3,1068,510,558,795,79,98,157
"38",31,"Nebraska",5,"Arthur County",958300,1,490,254,236,319,14,87,25
"39",31,"Nebraska",7,"Banner County",954000,1,778,370,408,514,41,107,140
"40",31,"Nebraska",9,"Blaine County",972400,1,584,294,290,402,13,76,113
"41",31,"Nebraska",11,"Boone County",960100,1,729,390,339,532,15,101,61
"42",31,"Nebraska",11,"Boone County",960100,2,740,373,367,557,41,52,31
"43",31,"Nebraska",11,"Boone County",960100,3,590,296,294,399,61,30,48
"44",31,"Nebraska",11,"Boone County",960100,4,620,320,300,411,25,33,64
"45",31,"Nebraska",11,"Boone County",960100,5,845,417,428,570,61,87,88
"46",31,"Nebraska",11,"Boone County",960200,1,1083,482,601,802,41,121,133
"47",31,"Nebraska",11,"Boone County",960200,2,866,456,410,537,44,116,45
"48",31,"Nebraska",13,"Box Butte County",951100,1,1500,735,765,990,61,225,163
"49",31,"Nebraska",13,"Box Butte County",951100,2,712,322,390,572,16,106,83
"50",31,"Nebraska",13,"Box Butte County",951200,1,870,456,414,606,24,91,41
"51",31,"Nebraska",13,"Box Butte County",951200,2,952,571,381,655,36,225,48
"52",31,"Nebraska",13,"Box Butte County",951200,3,1127,484,643,723,56,114,234
"53",31,"Nebraska",13,"Box Butte County",951200,4,725,328,397,579,38,84,0
"54",31,"Nebraska",13,"Box Butte County",951200,5,1188,452,736,848,215,103,430
"55",31,"Nebraska",13,"Box Butte County",951300,1,738,322,416,447,31,61,284
"56",31,"Nebraska",13,"Box Butte County",951300,2,638,323,315,401,48,92,120
"57",31,"Nebraska",13,"Box Butte County",951300,3,1060,537,523,733,83,136,91
"58",31,"Nebraska",13,"Box Butte County",951300,4,1027,577,450,594,156,51,441
"59",31,"Nebraska",13,"Box Butte County",951300,5,808,454,354,437,37,41,283
"60",31,"Nebraska",15,"Boyd County",975800,1,1173,590,583,844,56,135,118
"61",31,"Nebraska",15,"Boyd County",975800,2,852,428,424,634,69,92,76
"62",31,"Nebraska",17,"Brown County",975000,1,1543,752,791,1149,100,255,180
"63",31,"Nebraska",17,"Brown County",975000,2,1640,809,831,1115,96,188,218
"64",31,"Nebraska",19,"Buffalo County",968900,1,539,273,266,386,28,106,45
"65",31,"Nebraska",19,"Buffalo County",968900,2,729,354,375,514,17,119,13
"66",31,"Nebraska",19,"Buffalo County",968900,3,780,342,438,559,8,110,19
"67",31,"Nebraska",19,"Buffalo County",968900,4,777,378,399,491,60,111,82
"68",31,"Nebraska",19,"Buffalo County",968900,5,679,339,340,477,89,81,139
"69",31,"Nebraska",19,"Buffalo County",969000,1,1067,489,578,700,64,188,80
"70",31,"Nebraska",19,"Buffalo County",969000,2,638,303,335,479,21,122,57
"71",31,"Nebraska",19,"Buffalo County",969000,3,1179,590,589,698,44,147,132
"72",31,"Nebraska",19,"Buffalo County",969000,4,1211,616,595,800,52,182,30
"73",31,"Nebraska",19,"Buffalo County",969100,1,1095,526,569,706,46,217,23
"74",31,"Nebraska",19,"Buffalo County",969100,2,567,276,291,447,34,58,25
"75",31,"Nebraska",19,"Buffalo County",969100,3,396,171,225,294,25,57,22
"76",31,"Nebraska",19,"Buffalo County",969100,4,1380,733,647,819,193,147,152
"77",31,"Nebraska",19,"Buffalo County",969100,5,1081,497,584,662,88,116,120
"78",31,"Nebraska",19,"Buffalo County",969202,1,2567,1372,1195,1478,22,837,429
"79",31,"Nebraska",19,"Buffalo County",969202,2,1147,494,653,661,11,264,201
"80",31,"Nebraska",19,"Buffalo County",969203,1,2354,1170,1184,1412,108,676,298
"81",31,"Nebraska",19,"Buffalo County",969203,2,1390,747,643,924,0,546,35
"82",31,"Nebraska",19,"Buffalo County",969203,3,1275,646,629,1022,27,393,130
"83",31,"Nebraska",19,"Buffalo County",969204,1,2730,1343,1387,1783,81,975,58
"84",31,"Nebraska",19,"Buffalo County",969204,2,2436,1320,1116,1511,92,619,262
"85",31,"Nebraska",19,"Buffalo County",969300,1,773,352,421,522,48,37,125
"86",31,"Nebraska",19,"Buffalo County",969300,2,1679,791,888,868,183,139,377
"87",31,"Nebraska",19,"Buffalo County",969400,1,902,431,471,595,18,177,8
"88",31,"Nebraska",19,"Buffalo County",969400,2,1065,512,553,651,100,151,385
"89",31,"Nebraska",19,"Buffalo County",969400,3,1165,575,590,881,66,209,32
"90",31,"Nebraska",19,"Buffalo County",969400,4,855,385,470,596,67,142,162
"91",31,"Nebraska",19,"Buffalo County",969500,1,773,418,355,498,68,102,48
"92",31,"Nebraska",19,"Buffalo County",969500,2,746,376,370,433,48,131,61
"93",31,"Nebraska",19,"Buffalo County",969500,3,687,355,332,447,46,103,60
"94",31,"Nebraska",19,"Buffalo County",969600,1,1781,909,872,161,8,47,399
"95",31,"Nebraska",19,"Buffalo County",969600,2,1158,368,790,301,0,130,370
"96",31,"Nebraska",19,"Buffalo County",969600,3,952,534,418,586,20,169,75
"97",31,"Nebraska",19,"Buffalo County",969600,4,2115,1146,969,863,97,266,551
"98",31,"Nebraska",19,"Buffalo County",969700,1,841,529,312,489,81,108,0
"99",31,"Nebraska",19,"Buffalo County",969700,2,1366,700,666,898,52,315,180
"100",31,"Nebraska",19,"Buffalo County",969700,3,1970,843,1127,1124,64,198,475
"101",31,"Nebraska",19,"Buffalo County",969700,4,1485,739,746,1023,45,263,234
"102",31,"Nebraska",21,"Burt County",963200,1,886,455,431,592,40,135,37
"103",31,"Nebraska",21,"Burt County",963200,2,1372,651,721,1013,105,184,135
"104",31,"Nebraska",21,"Burt County",963300,1,1616,755,861,1078,79,167,99
"105",31,"Nebraska",21,"Burt County",963300,2,845,427,418,678,59,117,102
"106",31,"Nebraska",21,"Burt County",963400,1,1255,642,613,932,90,135,95
"107",31,"Nebraska",21,"Burt County",963400,2,855,403,452,638,60,115,89
"108",31,"Nebraska",23,"Butler County",967600,1,1298,657,641,887,78,86,123
"109",31,"Nebraska",23,"Butler County",967600,2,1342,619,723,961,72,132,84
"110",31,"Nebraska",23,"Butler County",967600,3,751,433,318,552,31,81,72
"111",31,"Nebraska",23,"Butler County",967700,1,1726,767,959,1171,119,238,185
"112",31,"Nebraska",23,"Butler County",967700,2,1252,624,628,776,79,100,127
"113",31,"Nebraska",23,"Butler County",967800,1,1111,655,456,772,52,118,68
"114",31,"Nebraska",23,"Butler County",967800,2,865,435,430,670,104,62,103
"115",31,"Nebraska",25,"Cass County",965600,1,1375,721,654,1011,74,232,110
"116",31,"Nebraska",25,"Cass County",965600,2,642,284,358,503,31,120,90
"117",31,"Nebraska",25,"Cass County",965600,3,830,369,461,556,6,163,9
"118",31,"Nebraska",25,"Cass County",965600,4,749,412,337,536,55,52,71
"119",31,"Nebraska",25,"Cass County",965700,1,2049,1060,989,1423,50,401,102
"120",31,"Nebraska",25,"Cass County",965700,2,983,497,486,663,79,187,16
"121",31,"Nebraska",25,"Cass County",965700,3,1709,827,882,1172,85,266,93
"122",31,"Nebraska",25,"Cass County",965800,1,1042,540,502,730,54,223,56
"123",31,"Nebraska",25,"Cass County",965800,2,807,383,424,689,10,238,34
"124",31,"Nebraska",25,"Cass County",965800,3,1034,517,517,659,44,160,46
"125",31,"Nebraska",25,"Cass County",965900,1,509,278,231,393,21,40,46
"126",31,"Nebraska",25,"Cass County",965900,2,1286,696,590,774,43,153,63
"127",31,"Nebraska",25,"Cass County",965900,3,1279,653,626,782,62,141,39
"128",31,"Nebraska",25,"Cass County",965900,4,2035,1113,922,1312,97,311,182
"129",31,"Nebraska",25,"Cass County",966000,1,656,319,337,451,10,129,16
"130",31,"Nebraska",25,"Cass County",966000,2,2508,1239,1269,1779,69,606,81
"131",31,"Nebraska",25,"Cass County",966000,3,892,456,436,651,34,150,56
"132",31,"Nebraska",25,"Cass County",966100,1,1632,770,862,1107,55,272,74
"133",31,"Nebraska",25,"Cass County",966100,2,1276,627,649,826,68,102,74
"134",31,"Nebraska",25,"Cass County",966100,3,720,408,312,489,62,84,61
"135",31,"Nebraska",25,"Cass County",966100,4,1201,533,668,656,81,136,75
"136",31,"Nebraska",27,"Cedar County",977100,1,1046,528,518,695,57,85,83
"137",31,"Nebraska",27,"Cedar County",977100,2,781,371,410,541,74,96,97
"138",31,"Nebraska",27,"Cedar County",977100,3,610,305,305,428,34,38,45
"139",31,"Nebraska",27,"Cedar County",977100,4,936,530,406,678,52,109,189
"140",31,"Nebraska",27,"Cedar County",977100,5,993,523,470,673,70,140,129
"141",31,"Nebraska",27,"Cedar County",977200,1,990,534,456,671,9,154,58
"142",31,"Nebraska",27,"Cedar County",977200,2,1224,608,616,823,53,155,70
"143",31,"Nebraska",27,"Cedar County",977200,3,1095,521,574,743,63,85,144
